Front	Back	Domain
What signal should control continuation of a client-tool loop?	Continue on stop_reason tool_use; execute calls, append matching tool_result blocks, and call the model again.	Agentic Architecture
Why should natural-language phrases not terminate an agent loop?	They are probabilistic text; protocol stop reasons are the reliable control signal.	Agentic Architecture
When is a fixed workflow preferable to an agent?	When steps, order, and contracts are predictable or deterministic compliance is required.	Agentic Architecture
When is an adaptive agent preferable to a fixed workflow?	When the next action depends on intermediate evidence in an open-ended task.	Agentic Architecture
What does a coordinator own?	Decomposition, routing, constraints, context handoff, aggregation, recovery, and final accountability.	Agentic Architecture
Do subagents automatically inherit the parent conversation?	No. Relevant goals, facts, constraints, output contracts, and provenance must be passed explicitly.	Agentic Architecture
When should tasks run in parallel?	When they are independent and do not require one another's outputs.	Agentic Architecture
When must tasks run sequentially?	When a later step depends on, validates, or is authorized by an earlier result.	Agentic Architecture
What is the strongest control for a mandatory verification-before-refund rule?	A programmatic prerequisite or pre-action gate.	Agentic Architecture
Why are prompts insufficient for hard business rules?	Model compliance is probabilistic and has a non-zero failure rate.	Agentic Architecture
What belongs in a structured handoff?	Verified identity, issue, facts/evidence, actions attempted, current state, unresolved items, and recommendation.	Agentic Architecture
What should a failed subagent return?	Failure type, retryability, attempts, partial results, and possible alternatives.	Agentic Architecture
What is the problem with an iteration cap as the only stop rule?	It is not an outcome criterion; it can stop too early or wastefully run to the cap.	Agentic Architecture
When should a session be resumed?	When prior context and observations are still mostly valid.	Agentic Architecture
When should work restart from a verified summary?	When prior tool results are stale or the environment changed materially.	Agentic Architecture
Why fork a session?	To explore divergent approaches independently from a shared baseline.	Agentic Architecture
What bounds a long autonomous run?	Outcome criteria, permission limits, budgets, checkpoints, observability, and escalation.	Agentic Architecture
What makes a good tool description?	Distinct purpose, use/non-use boundaries, inputs, output, constraints, examples, and edge cases.	Tools and MCP
Why are overlapping tool descriptions dangerous?	They make tool selection ambiguous and cause misrouting.	Tools and MCP
What does tool_choice auto mean?	Claude may call a tool or respond without one.	Tools and MCP
What does tool_choice any mean?	Claude must call one of the provided tools.	Tools and MCP
What does forced named tool choice mean?	Claude must call the specified tool.	Tools and MCP
How should a successful query with no matches be represented?	As a successful empty result, not an error.	Tools and MCP
What are the main error categories to distinguish?	Transient, validation, permission, business-rule, and successful-empty.	Tools and MCP
Which errors are normally retryable?	Transient failures, with bounded retries and backoff.	Tools and MCP
Which errors should not be blindly retried?	Validation, permission, business-rule, and missing-evidence failures.	Tools and MCP
What fields belong in a structured tool error?	Category, code, retryability, human-readable/safe message, and attempted operation/context.	Tools and MCP
What is an MCP tool?	A model-controlled operation or query exposed by an MCP server.	Tools and MCP
What is an MCP resource?	Application-controlled read-only context/content addressed through MCP.	Tools and MCP
What is an MCP prompt?	A user-controlled reusable prompt/workflow template.	Tools and MCP
Where should team-shared MCP configuration live?	In version-controlled project scope, without embedded secrets.	Tools and MCP
Where should MCP secrets live?	Environment variables or an approved secret store, injected at runtime.	Tools and MCP
When should you prefer an existing MCP server?	For a standard integration when it meets functional, trust, and security requirements.	Tools and MCP
When should you build a custom MCP server?	For organization-specific workflows, contracts, controls, or data access.	Tools and MCP
What principle should govern tool distribution across agents?	Least privilege: only the tools necessary for each role.	Tools and MCP
What is Grep for in Claude Code?	Searching file contents for patterns.	Tools and MCP
What is Glob for in Claude Code?	Finding file paths by name or pattern.	Tools and MCP
