Week,Session,Focus,Planned_minutes,Completed,Question_score_percent,Lab_or_artifact,Weak_point_or_error_rule,Next_review
0,1,Confirm eligibility and download latest exam guide,45,,,,,
0,2,Set up Academy Claude Code and API environment,60,,,,,
0,3,Baseline diagnostic and 20 mixed questions,60,,,,,
1,1,Tool-use loop and stop reasons,90,,,,,
1,2,Workflows routers parallelism and agents,90,,,,,
1,3,Coordinator and explicit subagent context,90,,,,,
1,4,Deterministic gates hooks and handoffs,90,,,,,
1,5,Support resolution lab and Domain 1 quiz,100,,,,,
2,1,Tool names descriptions schemas and boundaries,90,,,,,
2,2,Structured error contracts and recovery,90,,,,,
2,3,Tool choice and least privilege,90,,,,,
2,4,MCP clients servers tools resources and prompts,90,,,,,
2,5,MCP document-service lab and Domain 2 quiz,100,,,,,
3,1,CLAUDE.md scopes hierarchy and rules,90,,,,,
3,2,Skills commands and subagents,90,,,,,
3,3,Hooks permissions and secret handling,90,,,,,
3,4,Plan mode direct execution and context isolation,90,,,,,
3,5,Team configuration lab and Domain 3 quiz,100,,,,,
4,1,Success criteria eval sets and prompt structure,90,,,,,
4,2,Few-shot boundary examples and precision,90,,,,,
4,3,Structured outputs and JSON Schema,90,,,,,
4,4,Semantic validation feedback retries and batch,90,,,,,
4,5,Invoice extraction lab and Domain 4 quiz,100,,,,,
5,1,Context budgets trimming and durable facts,90,,,,,
5,2,Escalation ambiguity and error propagation,90,,,,,
5,3,Confidence calibration and human review,90,,,,,
5,4,Provenance conflicts and temporal data,90,,,,,
5,5,Research synthesis lab and Domain 5 quiz,100,,,,,
6,1,Full 60-question timed mock,120,,,,,
6,2,Review every answer and update error log,100,,,,,
6,3,Repair weakest domain,90,,,,,
6,4,Repair second-weakest domain,90,,,,,
6,5,Flagged-item retest and final readiness check,90,,,,,
